,crystal,det_no,energy,rotation,tilt,filename,ql_mean,ql_abs_uncert,tof_mean,tof_abs_uncert,qs_mean,qs_abs_uncert,counts,rot_order
78,bvert,4,11,315,0,bvert_11MeV_0tilt_315rot_det4.npy,5.3463,0.0154,37.9967,0.2309,3.6588,0.0144,90.0,0
90,bvert,4,11,325,0,bvert_11MeV_0tilt_325rot_det4.npy,5.4639,0.0163,37.8464,0.2298,3.7218,0.0144,93.0,1
102,bvert,4,11,335,0,bvert_11MeV_0tilt_335rot_det4.npy,5.5417,0.0135,38.4118,0.2636,3.7605,0.0132,94.0,2
114,bvert,4,11,345,0,bvert_11MeV_0tilt_345rot_det4.npy,5.4778,0.0148,38.4904,0.2664,3.7533,0.0137,75.0,3
126,bvert,4,11,355,0,bvert_11MeV_0tilt_355rot_det4.npy,5.3643,0.0136,38.1723,0.2414,3.6748,0.0127,103.0,4
174,bvert,4,11,5,0,bvert_11MeV_0tilt_5rot_det4.npy,5.2306,0.014,38.0222,0.2631,3.6225,0.0133,98.0,5
54,bvert,4,11,15,0,bvert_11MeV_0tilt_15rot_det4.npy,5.0713,0.0176,38.0638,0.2548,3.5426,0.0161,80.0,6
66,bvert,4,11,25,0,bvert_11MeV_0tilt_25rot_det4.npy,4.955,0.0136,37.951,0.2394,3.4791,0.0138,93.0,7
138,bvert,4,11,35,0,bvert_11MeV_0tilt_35rot_det4.npy,4.7984,0.0117,37.716,0.2652,3.3709,0.0118,89.0,8
150,bvert,4,11,45,0,bvert_11MeV_0tilt_45rot_det4.npy,4.6393,0.0143,37.9349,0.2754,3.2503,0.0137,77.0,9
162,bvert,4,11,55,0,bvert_11MeV_0tilt_55rot_det4.npy,4.5452,0.0141,38.1353,0.271,3.1736,0.0122,88.0,10
186,bvert,4,11,65,0,bvert_11MeV_0tilt_65rot_det4.npy,4.4884,0.0112,37.839,0.2273,3.1166,0.0107,91.0,11
198,bvert,4,11,75,0,bvert_11MeV_0tilt_75rot_det4.npy,4.4534,0.0156,37.7847,0.2939,3.0891,0.0147,87.0,12
210,bvert,4,11,85,0,bvert_11MeV_0tilt_85rot_det4.npy,4.5317,0.0141,37.9883,0.2667,3.1616,0.0138,95.0,13
222,bvert,4,11,95,0,bvert_11MeV_0tilt_95rot_det4.npy,4.6359,0.0164,38.0015,0.2969,3.2267,0.0136,83.0,14
6,bvert,4,11,105,0,bvert_11MeV_0tilt_105rot_det4.npy,4.7918,0.0158,37.6622,0.2663,3.3533,0.0142,72.0,15
18,bvert,4,11,115,0,bvert_11MeV_0tilt_115rot_det4.npy,4.9265,0.0163,37.4253,0.2556,3.4128,0.0138,85.0,16
30,bvert,4,11,125,0,bvert_11MeV_0tilt_125rot_det4.npy,5.1132,0.0169,37.9021,0.2489,3.5371,0.0154,87.0,17
42,bvert,4,11,135,0,bvert_11MeV_0tilt_135rot_det4.npy,5.2367,0.0159,36.8253,0.2226,3.5951,0.0135,83.0,18
79,bvert,5,11,315,0,bvert_11MeV_0tilt_315rot_det5.npy,4.2148,0.013,22.9391,0.0947,2.8663,0.01,138.0,0
91,bvert,5,11,325,0,bvert_11MeV_0tilt_325rot_det5.npy,4.3003,0.0139,22.9555,0.0959,2.8985,0.0113,157.0,1
103,bvert,5,11,335,0,bvert_11MeV_0tilt_335rot_det5.npy,4.3711,0.0161,22.9281,0.1064,2.9325,0.0127,137.0,2
115,bvert,5,11,345,0,bvert_11MeV_0tilt_345rot_det5.npy,4.4298,0.0129,22.763,0.1019,2.9731,0.011,163.0,3
127,bvert,5,11,355,0,bvert_11MeV_0tilt_355rot_det5.npy,4.3971,0.0135,22.8344,0.0843,2.9668,0.0109,180.0,4
175,bvert,5,11,5,0,bvert_11MeV_0tilt_5rot_det5.npy,4.2928,0.0126,22.9239,0.1056,2.9242,0.0108,126.0,5
55,bvert,5,11,15,0,bvert_11MeV_0tilt_15rot_det5.npy,4.2013,0.0129,22.8377,0.1042,2.8814,0.0113,136.0,6
67,bvert,5,11,25,0,bvert_11MeV_0tilt_25rot_det5.npy,4.0996,0.0109,23.0188,0.0925,2.8257,0.0092,171.0,7
139,bvert,5,11,35,0,bvert_11MeV_0tilt_35rot_det5.npy,3.942,0.0106,22.7648,0.0981,2.7202,0.0101,149.0,8
151,bvert,5,11,45,0,bvert_11MeV_0tilt_45rot_det5.npy,3.8048,0.0116,22.8642,0.1008,2.6273,0.0102,155.0,9
163,bvert,5,11,55,0,bvert_11MeV_0tilt_55rot_det5.npy,3.6918,0.0114,22.8732,0.0892,2.5499,0.0097,155.0,10
187,bvert,5,11,65,0,bvert_11MeV_0tilt_65rot_det5.npy,3.5906,0.01,22.7263,0.092,2.4692,0.008,166.0,11
199,bvert,5,11,75,0,bvert_11MeV_0tilt_75rot_det5.npy,3.6408,0.0088,23.509,0.1046,2.5162,0.008,88.0,12
211,bvert,5,11,85,0,bvert_11MeV_0tilt_85rot_det5.npy,3.5743,0.01,22.9452,0.0955,2.4539,0.0087,151.0,13
223,bvert,5,11,95,0,bvert_11MeV_0tilt_95rot_det5.npy,3.6026,0.0125,22.9565,0.1046,2.48,0.0104,142.0,14
7,bvert,5,11,105,0,bvert_11MeV_0tilt_105rot_det5.npy,3.7137,0.0118,22.8427,0.0921,2.5556,0.0101,145.0,15
19,bvert,5,11,115,0,bvert_11MeV_0tilt_115rot_det5.npy,3.8971,0.0097,23.0208,0.0898,2.685,0.0086,143.0,16
31,bvert,5,11,125,0,bvert_11MeV_0tilt_125rot_det5.npy,3.9846,0.0135,22.904,0.1046,2.7157,0.0115,129.0,17
43,bvert,5,11,135,0,bvert_11MeV_0tilt_135rot_det5.npy,4.0766,0.0152,22.5107,0.1038,2.7753,0.0124,130.0,18
80,bvert,6,11,315,0,bvert_11MeV_0tilt_315rot_det6.npy,2.8465,0.012,17.604,0.055,1.895,0.0089,180.0,0
92,bvert,6,11,325,0,bvert_11MeV_0tilt_325rot_det6.npy,2.9295,0.0138,17.5557,0.0573,1.9395,0.01,178.0,1
104,bvert,6,11,335,0,bvert_11MeV_0tilt_335rot_det6.npy,3.0658,0.0126,17.5856,0.0513,2.023,0.0096,203.0,2
116,bvert,6,11,345,0,bvert_11MeV_0tilt_345rot_det6.npy,3.1357,0.0134,17.6168,0.0566,2.0519,0.0103,187.0,3
128,bvert,6,11,355,0,bvert_11MeV_0tilt_355rot_det6.npy,3.1739,0.0128,17.6045,0.0571,2.0835,0.0096,171.0,4
176,bvert,6,11,5,0,bvert_11MeV_0tilt_5rot_det6.npy,3.1154,0.0124,17.4984,0.0629,2.0444,0.0093,171.0,5
56,bvert,6,11,15,0,bvert_11MeV_0tilt_15rot_det6.npy,3.0933,0.0101,17.6251,0.0548,2.0498,0.0081,180.0,6
68,bvert,6,11,25,0,bvert_11MeV_0tilt_25rot_det6.npy,2.9704,0.0114,17.5282,0.062,1.987,0.0086,177.0,7
140,bvert,6,11,35,0,bvert_11MeV_0tilt_35rot_det6.npy,2.8814,0.0099,17.5523,0.0563,1.9364,0.0079,189.0,8
152,bvert,6,11,45,0,bvert_11MeV_0tilt_45rot_det6.npy,2.8007,0.0111,17.5865,0.064,1.8825,0.0089,141.0,9
164,bvert,6,11,55,0,bvert_11MeV_0tilt_55rot_det6.npy,2.6957,0.0101,17.6097,0.0605,1.8083,0.0079,174.0,10
188,bvert,6,11,65,0,bvert_11MeV_0tilt_65rot_det6.npy,2.5945,0.0089,17.5357,0.0605,1.7442,0.0073,146.0,11
200,bvert,6,11,75,0,bvert_11MeV_0tilt_75rot_det6.npy,2.5283,0.0092,17.5399,0.0539,1.6936,0.0074,171.0,12
212,bvert,6,11,85,0,bvert_11MeV_0tilt_85rot_det6.npy,2.4793,0.0099,17.6418,0.0558,1.6556,0.0072,165.0,13
224,bvert,6,11,95,0,bvert_11MeV_0tilt_95rot_det6.npy,2.474,0.0107,17.5372,0.0591,1.6487,0.0083,148.0,14
8,bvert,6,11,105,0,bvert_11MeV_0tilt_105rot_det6.npy,2.5038,0.0111,17.4537,0.0618,1.6693,0.0084,171.0,15
20,bvert,6,11,115,0,bvert_11MeV_0tilt_115rot_det6.npy,2.6052,0.0104,17.6121,0.0555,1.7406,0.0077,194.0,16
32,bvert,6,11,125,0,bvert_11MeV_0tilt_125rot_det6.npy,2.6824,0.0121,17.56,0.057,1.7901,0.0092,163.0,17
44,bvert,6,11,135,0,bvert_11MeV_0tilt_135rot_det6.npy,2.8209,0.0123,17.4358,0.0637,1.8916,0.0099,130.0,18
81,bvert,7,11,315,0,bvert_11MeV_0tilt_315rot_det7.npy,1.6605,0.0103,15.8081,0.0372,1.0639,0.0077,183.0,0
93,bvert,7,11,325,0,bvert_11MeV_0tilt_325rot_det7.npy,1.7431,0.0105,15.7824,0.0445,1.1154,0.0074,154.0,1
105,bvert,7,11,335,0,bvert_11MeV_0tilt_335rot_det7.npy,1.7901,0.0114,15.7406,0.035,1.1436,0.0078,198.0,2
117,bvert,7,11,345,0,bvert_11MeV_0tilt_345rot_det7.npy,1.8629,0.011,15.7473,0.0414,1.1815,0.0077,165.0,3
129,bvert,7,11,355,0,bvert_11MeV_0tilt_355rot_det7.npy,1.8907,0.0106,15.6727,0.0337,1.1857,0.0074,205.0,4
177,bvert,7,11,5,0,bvert_11MeV_0tilt_5rot_det7.npy,1.9578,0.0097,15.7905,0.043,1.2352,0.0073,143.0,5
57,bvert,7,11,15,0,bvert_11MeV_0tilt_15rot_det7.npy,1.907,0.0108,15.7033,0.0364,1.2116,0.0079,172.0,6
69,bvert,7,11,25,0,bvert_11MeV_0tilt_25rot_det7.npy,1.9205,0.0087,15.7859,0.0372,1.2289,0.0066,159.0,7
141,bvert,7,11,35,0,bvert_11MeV_0tilt_35rot_det7.npy,1.8031,0.0094,15.734,0.039,1.1569,0.0068,183.0,8
153,bvert,7,11,45,0,bvert_11MeV_0tilt_45rot_det7.npy,1.7299,0.0088,15.741,0.0357,1.117,0.0065,174.0,9
165,bvert,7,11,55,0,bvert_11MeV_0tilt_55rot_det7.npy,1.6867,0.008,15.7827,0.0378,1.093,0.006,178.0,10
189,bvert,7,11,65,0,bvert_11MeV_0tilt_65rot_det7.npy,1.6145,0.0089,15.8405,0.0366,1.042,0.0066,183.0,11
201,bvert,7,11,75,0,bvert_11MeV_0tilt_75rot_det7.npy,1.5658,0.0095,15.7759,0.0389,1.0064,0.0069,158.0,12
213,bvert,7,11,85,0,bvert_11MeV_0tilt_85rot_det7.npy,1.5324,0.0076,15.8571,0.0395,0.9826,0.0056,189.0,13
225,bvert,7,11,95,0,bvert_11MeV_0tilt_95rot_det7.npy,1.4742,0.008,15.761,0.0357,0.9387,0.0057,178.0,14
9,bvert,7,11,105,0,bvert_11MeV_0tilt_105rot_det7.npy,1.4749,0.0077,15.7654,0.0385,0.9416,0.0055,181.0,15
21,bvert,7,11,115,0,bvert_11MeV_0tilt_115rot_det7.npy,1.5009,0.009,15.751,0.0394,0.9599,0.0065,181.0,16
33,bvert,7,11,125,0,bvert_11MeV_0tilt_125rot_det7.npy,1.5732,0.0112,15.7676,0.0393,1.0117,0.0081,183.0,17
45,bvert,7,11,135,0,bvert_11MeV_0tilt_135rot_det7.npy,1.6155,0.0085,15.6979,0.0369,1.0392,0.0063,175.0,18
82,bvert,8,11,315,0,bvert_11MeV_0tilt_315rot_det8.npy,0.7548,0.0058,17.2077,0.0342,0.4524,0.0039,190.0,0
94,bvert,8,11,325,0,bvert_11MeV_0tilt_325rot_det8.npy,0.8058,0.0071,17.2322,0.0369,0.4862,0.0047,177.0,1
106,bvert,8,11,335,0,bvert_11MeV_0tilt_335rot_det8.npy,0.8231,0.0064,17.1965,0.0338,0.4973,0.0042,184.0,2
118,bvert,8,11,345,0,bvert_11MeV_0tilt_345rot_det8.npy,0.8683,0.0076,17.1113,0.0312,0.5224,0.0049,196.0,3
130,bvert,8,11,355,0,bvert_11MeV_0tilt_355rot_det8.npy,0.8926,0.0068,17.0769,0.0322,0.5344,0.0045,187.0,4
178,bvert,8,11,5,0,bvert_11MeV_0tilt_5rot_det8.npy,0.9325,0.0082,17.1579,0.0367,0.5565,0.0052,186.0,5
58,bvert,8,11,15,0,bvert_11MeV_0tilt_15rot_det8.npy,0.9354,0.0075,17.0573,0.0321,0.5583,0.005,197.0,6
70,bvert,8,11,25,0,bvert_11MeV_0tilt_25rot_det8.npy,0.9318,0.0078,17.1779,0.037,0.559,0.0053,177.0,7
142,bvert,8,11,35,0,bvert_11MeV_0tilt_35rot_det8.npy,0.9137,0.0065,17.1375,0.0323,0.5496,0.0043,204.0,8
154,bvert,8,11,45,0,bvert_11MeV_0tilt_45rot_det8.npy,0.8807,0.007,17.13,0.0333,0.5358,0.0048,172.0,9
166,bvert,8,11,55,0,bvert_11MeV_0tilt_55rot_det8.npy,0.8445,0.0074,17.1436,0.0344,0.515,0.0051,168.0,10
190,bvert,8,11,65,0,bvert_11MeV_0tilt_65rot_det8.npy,0.8185,0.0062,17.2275,0.0369,0.4981,0.0042,182.0,11
202,bvert,8,11,75,0,bvert_11MeV_0tilt_75rot_det8.npy,0.7691,0.0054,17.1508,0.0303,0.4665,0.0036,188.0,12
214,bvert,8,11,85,0,bvert_11MeV_0tilt_85rot_det8.npy,0.7536,0.0053,17.1812,0.0341,0.4538,0.0036,176.0,13
226,bvert,8,11,95,0,bvert_11MeV_0tilt_95rot_det8.npy,0.7218,0.0058,17.1583,0.0386,0.4347,0.0039,148.0,14
10,bvert,8,11,105,0,bvert_11MeV_0tilt_105rot_det8.npy,0.7054,0.0051,17.2189,0.0335,0.4238,0.0035,204.0,15
22,bvert,8,11,115,0,bvert_11MeV_0tilt_115rot_det8.npy,0.7122,0.0063,17.2257,0.0342,0.4278,0.0041,175.0,16
34,bvert,8,11,125,0,bvert_11MeV_0tilt_125rot_det8.npy,0.7151,0.0065,17.1925,0.0363,0.4297,0.0042,175.0,17
46,bvert,8,11,135,0,bvert_11MeV_0tilt_135rot_det8.npy,0.7556,0.0066,17.2376,0.0345,0.4589,0.0044,169.0,18
83,bvert,9,11,315,0,bvert_11MeV_0tilt_315rot_det9.npy,0.2381,0.0028,15.708,0.0341,0.1294,0.0017,206.0,0
95,bvert,9,11,325,0,bvert_11MeV_0tilt_325rot_det9.npy,0.239,0.0027,15.6486,0.0364,0.1311,0.0016,203.0,1
107,bvert,9,11,335,0,bvert_11MeV_0tilt_335rot_det9.npy,0.2597,0.0032,15.6911,0.0347,0.1435,0.0019,217.0,2
119,bvert,9,11,345,0,bvert_11MeV_0tilt_345rot_det9.npy,0.2802,0.0036,15.6783,0.0336,0.1551,0.0022,203.0,3
131,bvert,9,11,355,0,bvert_11MeV_0tilt_355rot_det9.npy,0.2861,0.0034,15.652,0.0349,0.1595,0.002,217.0,4
179,bvert,9,11,5,0,bvert_11MeV_0tilt_5rot_det9.npy,0.2943,0.0041,15.5527,0.0362,0.1648,0.0025,174.0,5
59,bvert,9,11,15,0,bvert_11MeV_0tilt_15rot_det9.npy,0.3031,0.0042,15.6304,0.0358,0.1685,0.0025,205.0,6
71,bvert,9,11,25,0,bvert_11MeV_0tilt_25rot_det9.npy,0.3149,0.0037,15.5625,0.033,0.1752,0.0022,210.0,7
143,bvert,9,11,35,0,bvert_11MeV_0tilt_35rot_det9.npy,0.3065,0.0036,15.5719,0.0338,0.1703,0.0021,203.0,8
155,bvert,9,11,45,0,bvert_11MeV_0tilt_45rot_det9.npy,0.3005,0.0041,15.6017,0.0401,0.1691,0.0024,175.0,9
167,bvert,9,11,55,0,bvert_11MeV_0tilt_55rot_det9.npy,0.2938,0.0034,15.6281,0.0335,0.1657,0.002,202.0,10
191,bvert,9,11,65,0,bvert_11MeV_0tilt_65rot_det9.npy,0.2811,0.0037,15.6518,0.0361,0.1581,0.0022,184.0,11
203,bvert,9,11,75,0,bvert_11MeV_0tilt_75rot_det9.npy,0.2688,0.0035,15.6916,0.0385,0.1509,0.002,196.0,12
215,bvert,9,11,85,0,bvert_11MeV_0tilt_85rot_det9.npy,0.2518,0.003,15.7231,0.0352,0.1412,0.0018,205.0,13
227,bvert,9,11,95,0,bvert_11MeV_0tilt_95rot_det9.npy,0.2451,0.0029,15.7251,0.0356,0.1364,0.0017,179.0,14
11,bvert,9,11,105,0,bvert_11MeV_0tilt_105rot_det9.npy,0.2396,0.0032,15.7242,0.0374,0.1335,0.0018,203.0,15
23,bvert,9,11,115,0,bvert_11MeV_0tilt_115rot_det9.npy,0.2325,0.0027,15.7594,0.0352,0.1302,0.0015,199.0,16
35,bvert,9,11,125,0,bvert_11MeV_0tilt_125rot_det9.npy,0.2319,0.0031,15.6899,0.0377,0.1305,0.0018,203.0,17
47,bvert,9,11,135,0,bvert_11MeV_0tilt_135rot_det9.npy,0.2385,0.0031,15.7949,0.0372,0.1341,0.0018,173.0,18
72,bvert,10,11,315,0,bvert_11MeV_0tilt_315rot_det10.npy,0.2421,0.0032,13.855,0.038,0.1331,0.0019,189.0,0
84,bvert,10,11,325,0,bvert_11MeV_0tilt_325rot_det10.npy,0.2442,0.003,13.9602,0.04,0.133,0.0017,196.0,1
96,bvert,10,11,335,0,bvert_11MeV_0tilt_335rot_det10.npy,0.2321,0.003,13.8822,0.0362,0.1263,0.0017,203.0,2
108,bvert,10,11,345,0,bvert_11MeV_0tilt_345rot_det10.npy,0.2344,0.0027,13.9053,0.0388,0.1275,0.0015,210.0,3
120,bvert,10,11,355,0,bvert_11MeV_0tilt_355rot_det10.npy,0.2308,0.0031,13.8718,0.0385,0.1267,0.0018,190.0,4
168,bvert,10,11,5,0,bvert_11MeV_0tilt_5rot_det10.npy,0.2395,0.0029,13.8131,0.039,0.1315,0.0017,199.0,5
48,bvert,10,11,15,0,bvert_11MeV_0tilt_15rot_det10.npy,0.2504,0.0031,13.8077,0.0369,0.1398,0.0018,204.0,6
60,bvert,10,11,25,0,bvert_11MeV_0tilt_25rot_det10.npy,0.2616,0.0032,13.791,0.0401,0.1465,0.0019,193.0,7
132,bvert,10,11,35,0,bvert_11MeV_0tilt_35rot_det10.npy,0.281,0.0043,13.7287,0.0416,0.1571,0.0026,182.0,8
144,bvert,10,11,45,0,bvert_11MeV_0tilt_45rot_det10.npy,0.293,0.0039,13.7325,0.0394,0.1625,0.0023,190.0,9
156,bvert,10,11,55,0,bvert_11MeV_0tilt_55rot_det10.npy,0.2955,0.0043,13.7034,0.0396,0.164,0.0025,202.0,10
180,bvert,10,11,65,0,bvert_11MeV_0tilt_65rot_det10.npy,0.3005,0.0047,13.7278,0.0454,0.1675,0.0029,192.0,11
192,bvert,10,11,75,0,bvert_11MeV_0tilt_75rot_det10.npy,0.3006,0.0039,13.6913,0.0393,0.1685,0.0023,206.0,12
204,bvert,10,11,85,0,bvert_11MeV_0tilt_85rot_det10.npy,0.3069,0.004,13.8003,0.0397,0.173,0.0024,195.0,13
216,bvert,10,11,95,0,bvert_11MeV_0tilt_95rot_det10.npy,0.2918,0.0041,13.8483,0.0418,0.1654,0.0024,192.0,14
0,bvert,10,11,105,0,bvert_11MeV_0tilt_105rot_det10.npy,0.2734,0.0033,13.847,0.0389,0.1549,0.0019,196.0,15
12,bvert,10,11,115,0,bvert_11MeV_0tilt_115rot_det10.npy,0.2658,0.0034,13.8113,0.0355,0.1502,0.002,200.0,16
24,bvert,10,11,125,0,bvert_11MeV_0tilt_125rot_det10.npy,0.258,0.0035,13.8624,0.0395,0.1455,0.002,203.0,17
36,bvert,10,11,135,0,bvert_11MeV_0tilt_135rot_det10.npy,0.2552,0.0035,13.9128,0.0354,0.1439,0.002,213.0,18
73,bvert,11,11,315,0,bvert_11MeV_0tilt_315rot_det11.npy,0.7883,0.0068,17.8688,0.0331,0.4731,0.0046,186.0,0
85,bvert,11,11,325,0,bvert_11MeV_0tilt_325rot_det11.npy,0.7643,0.0064,17.9481,0.0322,0.4617,0.0043,197.0,1
97,bvert,11,11,335,0,bvert_11MeV_0tilt_335rot_det11.npy,0.7317,0.0062,17.9128,0.0321,0.4362,0.0041,183.0,2
109,bvert,11,11,345,0,bvert_11MeV_0tilt_345rot_det11.npy,0.7277,0.0059,17.9508,0.0319,0.4342,0.004,177.0,3
121,bvert,11,11,355,0,bvert_11MeV_0tilt_355rot_det11.npy,0.7237,0.0055,17.9445,0.0305,0.4321,0.0036,193.0,4
169,bvert,11,11,5,0,bvert_11MeV_0tilt_5rot_det11.npy,0.7215,0.0055,17.9313,0.032,0.4338,0.0037,189.0,5
49,bvert,11,11,15,0,bvert_11MeV_0tilt_15rot_det11.npy,0.7471,0.0062,17.9173,0.036,0.4496,0.0041,176.0,6
61,bvert,11,11,25,0,bvert_11MeV_0tilt_25rot_det11.npy,0.7766,0.0062,17.8765,0.03,0.47,0.004,204.0,7
133,bvert,11,11,35,0,bvert_11MeV_0tilt_35rot_det11.npy,0.8028,0.0063,17.8496,0.0346,0.4843,0.0042,181.0,8
145,bvert,11,11,45,0,bvert_11MeV_0tilt_45rot_det11.npy,0.8432,0.0072,17.8167,0.0355,0.5069,0.0048,171.0,9
157,bvert,11,11,55,0,bvert_11MeV_0tilt_55rot_det11.npy,0.8875,0.0073,17.7997,0.0347,0.5319,0.0047,173.0,10
181,bvert,11,11,65,0,bvert_11MeV_0tilt_65rot_det11.npy,0.9075,0.0076,17.8374,0.0364,0.5427,0.005,166.0,11
193,bvert,11,11,75,0,bvert_11MeV_0tilt_75rot_det11.npy,0.915,0.0076,17.7911,0.037,0.5446,0.0049,175.0,12
205,bvert,11,11,85,0,bvert_11MeV_0tilt_85rot_det11.npy,0.9221,0.0075,17.8383,0.0386,0.5533,0.0049,168.0,13
217,bvert,11,11,95,0,bvert_11MeV_0tilt_95rot_det11.npy,0.9025,0.0074,17.8693,0.0324,0.5442,0.0048,185.0,14
1,bvert,11,11,105,0,bvert_11MeV_0tilt_105rot_det11.npy,0.8843,0.0077,17.8757,0.0307,0.5386,0.0051,153.0,15
13,bvert,11,11,115,0,bvert_11MeV_0tilt_115rot_det11.npy,0.854,0.0078,17.8956,0.0321,0.5207,0.0051,173.0,16
25,bvert,11,11,125,0,bvert_11MeV_0tilt_125rot_det11.npy,0.8272,0.0066,17.9468,0.0347,0.5034,0.0046,153.0,17
37,bvert,11,11,135,0,bvert_11MeV_0tilt_135rot_det11.npy,0.8005,0.0075,17.9631,0.0367,0.4892,0.0049,144.0,18
74,bvert,12,11,315,0,bvert_11MeV_0tilt_315rot_det12.npy,1.7188,0.0093,16.9301,0.0388,1.1094,0.0067,218.0,0
86,bvert,12,11,325,0,bvert_11MeV_0tilt_325rot_det12.npy,1.6571,0.009,16.9448,0.0387,1.0672,0.0067,191.0,1
98,bvert,12,11,335,0,bvert_11MeV_0tilt_335rot_det12.npy,1.5823,0.0104,16.9718,0.0422,1.0163,0.0075,192.0,2
110,bvert,12,11,345,0,bvert_11MeV_0tilt_345rot_det12.npy,1.5402,0.0081,16.948,0.0368,0.9892,0.0059,189.0,3
122,bvert,12,11,355,0,bvert_11MeV_0tilt_355rot_det12.npy,1.5166,0.0083,16.9271,0.0353,0.9686,0.0059,213.0,4
170,bvert,12,11,5,0,bvert_11MeV_0tilt_5rot_det12.npy,1.4977,0.0079,16.898,0.0365,0.9566,0.0055,204.0,5
50,bvert,12,11,15,0,bvert_11MeV_0tilt_15rot_det12.npy,1.5198,0.0083,16.8725,0.0409,0.9729,0.0062,189.0,6
62,bvert,12,11,25,0,bvert_11MeV_0tilt_25rot_det12.npy,1.5878,0.008,16.9899,0.039,1.0193,0.006,215.0,7
134,bvert,12,11,35,0,bvert_11MeV_0tilt_35rot_det12.npy,1.6307,0.0082,16.9063,0.0399,1.0434,0.0058,180.0,8
146,bvert,12,11,45,0,bvert_11MeV_0tilt_45rot_det12.npy,1.708,0.0093,16.8393,0.0441,1.0981,0.0069,180.0,9
158,bvert,12,11,55,0,bvert_11MeV_0tilt_55rot_det12.npy,1.7735,0.0095,16.9248,0.0446,1.133,0.0069,172.0,10
182,bvert,12,11,65,0,bvert_11MeV_0tilt_65rot_det12.npy,1.8489,0.0099,16.8519,0.0399,1.1751,0.0072,178.0,11
194,bvert,12,11,75,0,bvert_11MeV_0tilt_75rot_det12.npy,1.9175,0.0104,16.8483,0.0381,1.2115,0.0073,193.0,12
206,bvert,12,11,85,0,bvert_11MeV_0tilt_85rot_det12.npy,1.9426,0.0101,16.9,0.0376,1.2235,0.007,201.0,13
218,bvert,12,11,95,0,bvert_11MeV_0tilt_95rot_det12.npy,1.9099,0.0107,16.964,0.041,1.2106,0.0077,198.0,14
2,bvert,12,11,105,0,bvert_11MeV_0tilt_105rot_det12.npy,1.8543,0.0096,16.8869,0.0407,1.1841,0.0067,191.0,15
14,bvert,12,11,115,0,bvert_11MeV_0tilt_115rot_det12.npy,1.8307,0.0102,16.922,0.0376,1.178,0.0069,185.0,16
26,bvert,12,11,125,0,bvert_11MeV_0tilt_125rot_det12.npy,1.7885,0.0103,17.0193,0.0426,1.1564,0.0077,185.0,17
38,bvert,12,11,135,0,bvert_11MeV_0tilt_135rot_det12.npy,1.7253,0.0106,16.9776,0.043,1.1169,0.0075,180.0,18
75,bvert,13,11,315,0,bvert_11MeV_0tilt_315rot_det13.npy,2.9192,0.0137,20.1155,0.0535,1.9593,0.0102,169.0,0
87,bvert,13,11,325,0,bvert_11MeV_0tilt_325rot_det13.npy,2.8249,0.0123,20.1993,0.0559,1.8955,0.0095,204.0,1
99,bvert,13,11,335,0,bvert_11MeV_0tilt_335rot_det13.npy,2.7336,0.0125,20.1234,0.0518,1.8365,0.0092,200.0,2
111,bvert,13,11,345,0,bvert_11MeV_0tilt_345rot_det13.npy,2.6262,0.0092,20.1887,0.0527,1.7557,0.0068,224.0,3
123,bvert,13,11,355,0,bvert_11MeV_0tilt_355rot_det13.npy,2.5492,0.0113,20.1604,0.0551,1.7087,0.0088,194.0,4
171,bvert,13,11,5,0,bvert_11MeV_0tilt_5rot_det13.npy,2.5008,0.0106,20.1218,0.0562,1.6702,0.0078,190.0,5
51,bvert,13,11,15,0,bvert_11MeV_0tilt_15rot_det13.npy,2.5009,0.0097,20.0839,0.051,1.6684,0.0078,197.0,6
63,bvert,13,11,25,0,bvert_11MeV_0tilt_25rot_det13.npy,2.5512,0.0103,20.128,0.0544,1.7112,0.0082,171.0,7
135,bvert,13,11,35,0,bvert_11MeV_0tilt_35rot_det13.npy,2.6192,0.01,20.0771,0.053,1.7503,0.0076,195.0,8
147,bvert,13,11,45,0,bvert_11MeV_0tilt_45rot_det13.npy,2.7292,0.0088,20.138,0.0542,1.8236,0.0071,183.0,9
159,bvert,13,11,55,0,bvert_11MeV_0tilt_55rot_det13.npy,2.793,0.0104,20.0385,0.0516,1.8712,0.0077,186.0,10
183,bvert,13,11,65,0,bvert_11MeV_0tilt_65rot_det13.npy,2.9126,0.0118,20.1416,0.0564,1.9325,0.009,158.0,11
195,bvert,13,11,75,0,bvert_11MeV_0tilt_75rot_det13.npy,3.0091,0.0134,19.9838,0.0581,1.9886,0.0102,180.0,12
207,bvert,13,11,85,0,bvert_11MeV_0tilt_85rot_det13.npy,3.1116,0.0122,20.1458,0.0584,2.0491,0.0091,158.0,13
219,bvert,13,11,95,0,bvert_11MeV_0tilt_95rot_det13.npy,3.1476,0.0126,20.0786,0.0537,2.0589,0.0095,164.0,14
3,bvert,13,11,105,0,bvert_11MeV_0tilt_105rot_det13.npy,3.0986,0.0133,20.1085,0.057,2.0358,0.0096,186.0,15
15,bvert,13,11,115,0,bvert_11MeV_0tilt_115rot_det13.npy,3.0773,0.0125,20.2319,0.0545,2.0398,0.0092,197.0,16
27,bvert,13,11,125,0,bvert_11MeV_0tilt_125rot_det13.npy,2.9933,0.0129,20.1914,0.0543,2.0098,0.0097,174.0,17
